Qty;Value;Device;Package;Parts;Description;BLOCK;LAYER;MAN1;MAN1PN;MAN2;MAN2PN;NOTES;SENTPN;VALUE2
1;1uF;COND_CERAMICO_SMD0603R;C0603R;C12;Condensador ceramico SMD;;;Taiyo Yuden;LMK107B7105KA-T;;;;CCSMD-0603R-105-16V;16V
1;2.2uF;COND_CERAMICO_SMD0603R;C0603R;C13;Condensador ceramico SMD;;;Taiyo Yuden;EMK107BJ225MA-T;;;;CCSMD-0603R-225-10V;10V
5;100nF;COND_CERAMICO_SMD0603R;C0603R;C7, C8, C9, C10, C11;Condensador ceramico SMD;;;AVX;0603YC104KAT2A;;;;CCSMD-0603-104-6V3;6V3
1;;WL-SMCW-150060BS75000;WL-SMCW_0603;D2;SMD mono-color Chip LED;;;Inolux;IN-S63AT5G;;;;LEDSMD-0603-GREEN;
1;MCP2515-I/ML;MCP2515-I/ML;QFN50P400X400X90-21N;H1;Stand-Alone CAN Controller SPI QFN20 Microchip MCP2515-E/ML, CAN Controller 1MBps CAN 2.0B, 20-Pin QFN;;;Microchip;MCP2515-I/ML;;;H0.9mm;MCP2515-I/ML;
1;ATMEGA328P-MU;ATMEGA328P-MU;QFN50P500X500X100-33N;IC1;Programmable Flash;;;Microchip Technology / Atmel;ATMEGA328P-MU;;;;ATMEGA328P-MU;
1;MCP2562T-H_SN;MCP2562T-H_SN;SOIC127P600X175-8N;IC4;CAN Interface IC;;;Microchip;MCP2562T-H/SN;;;H1.75mm;MCP2562T-H/SN;
1;AP2210N-SOT23-3;AP2210N-SOT23-3;SOT95P280X130-3N;IC5;DiodesZetex AP2210N, Low Noise LDO Voltage Regulator, 300mA, 2%, 2.5  13.2 Vin, 3-Pin SOT-23;;;Diodes Inc.;AP2210N-5.0TRG1;;;H1.3mm;AP2210N-5.0TRG1;
1;PINH-2X03-2.54-TH-M20;PINH-2X03-2.54-TH-M20;HDRV6W64P254_2X3_762X508X868P;JP2;;;;Harwin;M20-9980346;;;;PINH-2X03-2.54;
1;LED_TUBEH1;LED_TUBEH1;LED_TUBE_2;LED_TUBE1;;;;Bivar;SLP3-150-150-F;;;;SLP3-150-150-F;
2;10K;RES_CERAMICA_SMD0603R;R0603R;R1, R2;Resistencia ceramica SMD;;;Yageo;RC0603JR-074K7L;;;;RSMD-0603-4K7;
1;390R;RES_CERAMICA_SMD0603R;R0603R;R12;Resistencia ceramica SMD;;;Yageo;RC0603FR-07390RL;;;;RSMD-0603-390R;
1;10K;RES_CERAMICA_SMD0603R;R0603R;R5;Resistencia ceramica SMD;;;Bourns;CR0603-JW-103ELF;;;;RSMD-0603-10K;
1;120R;RES_CERAMICA_SMD0603R;R0603R;R8;Resistencia ceramica SMD;;;Yageo;RC0603FR-07120RL;;;;RSMD-0603R-120R-10;1%
1;RJ45-PLASTIC-SMD;RJ45-PLASTIC-SMD;73304111LF;RJ45-1;WR-MJ Horizontal Plastic 8P8C Modular Jack Tab Down, 8 Pins=>Code : Con_I_O_MJ-H_Plastic_Down_615008137121;;;Amphenol FCI;73304-111LF;;;H14mm;CONSTD-RJ45-SMD-90;
1;;DIP-SW-2;SMD-DIP-SWITCH-2P;S1;;;;CTS Electronic Components;219-2MST;;;;SWSMD-1x02;
2;16MHz;RESONADOR_CERAMICO-UNKN1;CSTNE16M0V530000R0;Y1, Y2;;;;Murata Electronics;CSTNE16M0V530000R0;;;H0.9mm;CRES-3.2x1.3-16MHz;
